DBN,streeteasy_id
11X144,ps144-bronx
11X153,ps153-bronx
11X160,ps160-bronx
11X169,ps169-bronx
11X175,ps175-bronx
11X178,ps178-bronx
11X180,ps180-bronx
11X181,ps181-bronx
11X189,ps189-bronx
11X194,ps194-bronx
11X249,ps249-bronx
11X253,ps253-bronx
11X265,ps265-bronx
11X270,ps270-bronx
11X272,ps272-bronx
11X275,ps275-bronx
11X287,ps287-bronx
11X288,ps288-bronx
11X289,ps289-bronx
11X290,ps290-bronx
11X299,ps299-bronx
11X322,ps322-bronx
11X326,ps326-bronx
11X370,ps370-bronx
11X415,ps415-bronx
11X418,ps418-bronx
11X455,ps455-bronx
11X462,ps462-bronx
11X468,ps468-bronx
11X513,ps513-bronx
11X514,ps514-bronx
11X541,ps541-bronx
11X542,ps542-bronx
11X544,ps544-bronx
11X545,ps545-bronx
12X006,ps6-bronx
12X044,ps44-bronx
12X047,ps47-bronx
12X050,ps50-bronx
12X057,ps57-bronx
12X061,ps61-bronx
12X066,ps66-bronx
12X067,ps67-bronx
12X092,ps92-bronx
12X098,ps98-bronx
12X102,ps102-bronx
12X129,ps129-bronx
12X134,ps134-bronx
12X150,ps150-bronx
12X190,ps190-bronx
12X195,ps195-bronx
12X196,ps196-bronx
12X197,ps197-bronx
12X198,ps198-bronx
12X211,ps211-bronx
12X212,ps212-bronx
12X214,ps214-bronx
12X216,ps216-bronx
12X217,ps217-bronx
12X242,ps242-bronx
12X245,ps245-bronx
12X248,ps248-bronx
12X251,ps251-bronx
12X262,ps262-bronx
12X267,ps267-bronx
12X271,ps271-bronx
12X273,ps273-bronx
12X278,ps278-bronx
12X286,ps286-bronx
12X300,ps300-bronx
12X316,ps316-bronx
12X318,ps318-bronx
12X341,ps341-bronx
12X372,ps372-bronx
12X383,ps383-bronx
12X384,ps384-bronx
12X388,ps388-bronx
12X463,ps463-bronx
12X478,ps478-bronx
12X479,ps479-bronx
12X480,ps480-bronx
12X550,ps550-bronx
12X680,ps680-bronx
12X682,ps682-bronx
12X684,ps684-bronx
12X690,ps690-bronx
12X691,ps691-bronx
12X692,ps692-bronx
75M401,ps401-bronx
75X010,ps10-bronx
75X012,ps12-bronx
75X017,ps17-bronx
75X168,ps168-bronx
75X176,ps176-bronx
75X186,ps186-bronx
75X188,ps188-bronx
75X352,ps352-bronx
75X721,ps721-bronx
75X723,ps723-bronx
75X754,ps754-bronx
75X811,ps811-bronx
84X165,ps165-bronx
84X185,ps185-bronx
84X255,ps255-bronx
84X309,ps309-bronx
84X345,ps345-bronx
84X346,ps346-bronx
84X347,ps347-bronx
84X378,ps378-bronx
84X389,ps389-bronx
84X393,ps393-bronx
84X394,ps394-bronx
84X395,ps395-bronx
84X398,ps398-bronx
84X407,ps407-bronx
84X419,ps419-bronx
84X422,ps422-bronx
84X703,ps703-bronx
84X704,ps704-bronx
84X705,ps705-bronx
84X706,ps706-bronx
84X717,ps717-bronx
84X718,ps718-bronx
84X730,ps730-bronx
