DBN,streeteasy_id
30Q092,ps92-queens
30Q111,ps111-queens
30Q112,ps112-queens
30Q122,ps122-queens
30Q126,ps126-queens
30Q127,ps127-queens
30Q141,ps141-queens
30Q145,ps145-queens
30Q148,ps148-queens
30Q149,ps149-queens
30Q150,ps150-queens
30Q151,ps151-queens
30Q152,ps152-queens
30Q166,ps166-queens
30Q171,ps171-queens
30Q204,ps204-queens
30Q212,ps212-queens
30Q222,ps222-queens
30Q227,ps227-queens
30Q228,ps228-queens
30Q230,ps230-queens
30Q234,ps234-queens
30Q235,ps235-queens
30Q286,ps286-queens
30Q301,ps301-queens
30Q445,ps445-queens
30Q450,ps450-queens
30Q501,ps501-queens
30Q502,ps502-queens
30Q555,ps555-queens
30Q575,ps575-queens
30Q580,ps580-queens
75Q004,ps4-queens
75Q009,ps9-queens
75Q023,ps23-queens
75Q075,ps75-queens
75Q177,ps177-queens
75Q224,ps224-queens
75Q233,ps233-queens
75Q255,ps255-queens
75Q721,ps721-queens
75Q752,ps752-queens
75Q811,ps811-queens
75Q993,ps993-queens
84Q170,ps170-queens
84Q304,ps304-queens
84Q704,ps704-queens
84Q705,ps705-queens
84Q706,ps706-queens
