percentile_90_price,increase_count,search_url,stddev_increase,average_sqft,updated_at,average_wom,sqft_count,median_ppsf,median_price,stddev_wom,average_ppsf,stddev_decrease,stddev_price,median_wom,average_increase,median_sqft,school,average_decrease,percentile_10_price,criteria_description,sqft,bed,stddev_sqft,average_price,decrease_count,criteria,listing_count,wom_count,housing
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,800,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,900,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1000,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1100,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1200,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1300,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1400,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1500,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1600,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1700,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1800,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,1900,1,512.641,792608,611,beds:1,2632,1653,coop
1595000,139,http://streeteasy.com/for-sale/nyc/beds:1,652.169,850,2015-07-15T17:40:30-04:00,16.5596,1541,1037,626444,28.761,1101,351.28,874872.0,9.0,659.309,785,ps282-brooklyn,506.097,165000,Sale listings  with 1 bedroom  ,2000,1,512.641,792608,611,beds:1,2632,1653,coop
