BOROUGH	BLOCK	LOT	LAT	LON
2	3030	59	40.8544477262734	-73.8958279053519
2	3039	28	40.8560834494887	-73.8927020541987
2	3039	64	40.8567748982299	-73.8924695815357
2	3053	87	40.8567576317351	-73.891616480121
2	2912	131	40.8383885669402	-73.9022425262347
2	2929	118	40.8385023831724	-73.9005329547798
2	2929	126	40.8382851451359	-73.9000634659924
2	3035	140	40.8490749457672	-73.8973363525098
2	3036	37	40.8512091684101	-73.8960426272828
2	3036	58	40.8499115315271	-73.8967205822714
2	3039	30	40.8559709168226	-73.8927022357428
2	3039	117	40.856704307996	-73.8933011345893
2	3039	130	40.8560231803491	-73.8928250585328
2	3041	7	40.8585723753393	-73.8921449355918
2	3044	167	40.8491941359491	-73.8955795003974
2	3046	12	40.8502072935848	-73.8959791303317
2	3050	65	40.8546613550227	-73.8923392494332
2	3050	85	40.8536985505466	-73.8929697810813
2	3053	5	40.8549602435321	-73.8920351176304
2	3053	22	40.8549354735548	-73.8919628607234
2	3030	168	40.8552461331574	-73.8954940865877
2	3036	33	40.8514286206746	-73.895904927027
2	3037	130	40.8542187998465	-73.894599226241
2	3050	28	40.8549361920221	-73.892732823837
2	3050	128	40.8548539182283	-73.8928052535512
2	3050	129	40.8547606823696	-73.8928957749725
2	3050	137	40.8536574169246	-73.8930096099212
2	3053	120	40.8552481558185	-73.8917346158331
2	3031	47	40.8582715709451	-73.8933420006648
2	3032	54	40.8588531222118	-73.8929904063704
2	3039	66	40.8568271586312	-73.8925887906744
2	3040	10	40.8578205002614	-73.8923305205321
2	3048	30	40.8527979797697	-73.8926386742001
2	3048	31	40.8527127459224	-73.8924797634418
2	3050	8	40.8538940694019	-73.8936671226807
2	3050	20	40.8548048489415	-73.8931668174958
2	3050	101	40.8541897881405	-73.8929003090992
2	3050	102	40.8542693173036	-73.8928278846484
2	3051	24	40.8542711308691	-73.8918301915073
2	3053	25	40.855563731779	-73.8916654192325
2	3053	74	40.8560362367144	-73.8921092842128
2	3035	48	40.8485618406172	-73.8975106408765
2	2924	36	40.8457672494055	-73.8969727929668
2	3039	23	40.856269954457	-73.8925571561867
2	3052	27	40.8551403908247	-73.8909684394626
2	3043	8	40.8475544831589	-73.8974543617039
2	2900	10	40.8462321427203	-73.9012984887206
2	3027	16	40.8486600094374	-73.8999069126596
2	3034	55	40.8474019545107	-73.8987847129918
2	3045	36	40.8503378321867	-73.8946487512808
2	3027	38	40.8483302994017	-73.8995098141856
2	3027	39	40.8482672027109	-73.8995460544373
2	2900	7	40.8461031756348	-73.9013384382086
2	2900	12	40.8463006210407	-73.9011357397402
2	3027	28	40.8488269393754	-73.8993355667692
2	3031	54	40.8576901550198	-73.8938418038132
2	3031	56	40.8576023812001	-73.8939033989247
2	3031	57	40.8575118626477	-73.8939649982495
2	3031	59	40.8574186060031	-73.8940338317507
2	3032	30	40.8602138226719	-73.8922688035869
2	3038	20	40.8553600219356	-73.8939720437084
2	3040	31	40.8574443449261	-73.8921901447902
2	3041	14	40.8583798197741	-73.8916897524436
2	3051	49	40.8531900303046	-73.8921645077004
2	3043	46	40.8471586042118	-73.8967356998462
2	4707	59	40.8758715744903	-73.8541199981047
2	4707	62	40.8757890280554	-73.8539574595831
2	4708	25	40.8759138735272	-73.8528470737944
2	4708	26	40.8759359186119	-73.8529157290019
2	4709	49	40.8769706933876	-73.8529351362471
2	4709	50	40.8769513976158	-73.8528700899357
2	4709	150	40.8769321064193	-73.852808659706
2	4710	1	40.8772996175544	-73.8525908816743
2	4711	100	40.8776993368779	-73.8518053026808
2	4715	79	40.880599328822	-73.8509128565083
2	4719	51	40.8787040328024	-73.8497888674453
2	4723	8	40.8786558023612	-73.8465091300886
2	4727	1	40.8801596831111	-73.8463501602906
2	4730	41	40.8779423589923	-73.8425656015895
2	4734	66	40.8743879439226	-73.8508038425437
2	4734	112	40.8726850459254	-73.849889244375
2	4735	51	40.8745733916698	-73.8498849812453
2	4735	84	40.8737686280402	-73.8494492763636
2	4735	87	40.8741668906876	-73.8496653288478
2	4737	31	40.8746333904636	-73.8474983324532
2	4737	38	40.874292800521	-73.847311086248
2	4738	42	40.874692993222	-73.8469087987297
2	4738	45	40.8749182206514	-73.8470312222846
2	4739	55	40.873142399842	-73.8491144203697
2	4739	149	40.872766107804	-73.8489091720678
2	4740	35	40.8725450453517	-73.8477779240501
2	4740	51	40.8734953838151	-73.8482892016036
2	4742	12	40.8737531023297	-73.8460033764538
2	4744	20	40.875538319918	-73.8448240486622
2	4746	16	40.8738478691986	-73.8450340993082
2	4750	13	40.8770065836987	-73.8426871472896
2	4750	16	40.8768692458361	-73.8426115351531
2	4751	44	40.8761323044027	-73.8416152604591
2	4751	48	40.8763163323719	-73.8417124546618
2	4756	13	40.8760659218943	-73.8392613975071
2	4756	62	40.875918121412	-73.8395582668004
2	4766	15	40.8708306853865	-73.8424450418001
2	4766	29	40.8699077228969	-73.8419012620663
2	4775	38	40.8713188151395	-73.8381700691009
2	4780	22	40.8720763905835	-73.8362518560638
2	4781	11	40.8735224355896	-73.8359626412287
2	4781	26	40.8727781363449	-73.8356209736134
2	4781	32	40.8724622859279	-73.8354735061299
2	4784	5	40.869609815137	-73.8408245046746
2	4796	5	40.8711837245022	-73.8358020864899
2	4886	30	40.879425215924	-73.8391086283968
2	4886	54	40.8797004343125	-73.8396467770167
2	4893	21	40.8819968916129	-73.8410154437062
2	4893	120	40.8818621628595	-73.8408421823814
2	4899	50	40.8824726707488	-73.8457589650868
2	4902	23	40.8824075086718	-73.848366506223
2	4902	120	40.8823221667376	-73.8481714181031
2	4916	31	40.8834022480415	-73.8390881545152
2	4934	19	40.8883879756658	-73.8440851852907
2	4934	26	40.8883034905904	-73.8445302342408
2	4942	49	40.8862738074126	-73.8337106074043
2	4945	7	40.8872404504256	-73.8340662344375
2	4945	97	40.888867650445	-73.8337873032052
2	4945	99	40.8888650983812	-73.8339211276534
2	4946	12	40.8875106612824	-73.8330167370252
2	4950	77	40.887436230024	-73.8309084304832
2	4951	73	40.8871960241711	-73.829943405525
2	4960	78	40.8893029816962	-73.8368821340981
2	4961	33	40.8911476361984	-73.8370403648902
2	4963	57	40.8910069972409	-73.8346463742242
2	4969	39	40.8919467798948	-73.8316094806959
2	4970	1	40.8917418573078	-73.8303694163884
2	4977	39	40.8916145188728	-73.8472857662401
2	4979	18	40.8908847382616	-73.8454537183602
2	4981	57	40.8922245636758	-73.8437253484995
2	4982	46	40.8928082084938	-73.8430078265459
2	4983	27	40.8921345783951	-73.8421413658575
2	4983	38	40.8926261329305	-73.8423282777672
2	4986	31	40.8930478209526	-73.8396145788666
2	4990	22	40.8928688974244	-73.8353470425169
2	4991	7	40.8924334308714	-73.8340858235486
2	4991	25	40.8924837120216	-73.8346969543791
2	5263	150	40.8812702817887	-73.8318498831349
2	5270	12	40.8831992129803	-73.8295775237798
2	5270	15	40.8830758303844	-73.8296646334183
2	5655	23	40.8890770024556	-73.8196635013437
2	5655	130	40.8886712641833	-73.8199684044069
2	4706	58	40.8747865706184	-73.8534498142487
2	4707	58	40.8758990944865	-73.8541777936894
2	4708	37	40.8762418145466	-73.8538877607387
2	4711	44	40.8785035810797	-73.8518432876223
2	4714	6	40.8797305392405	-73.8519056451975
2	4715	28	40.8803287171848	-73.8496550121802
2	4717	89	40.8799325712158	-73.8489579780195
2	4722	5	40.8790088366349	-73.8478029029937
2	4722	72	40.8792750616115	-73.8477950612033
2	4723	17	40.8781256639401	-73.846199367678
2	4726	34	40.8797247173457	-73.8474360273966
2	4726	122	40.8793507218031	-73.8468944576962
2	4728	62	40.8793651844502	-73.8453900906739
2	4728	93	40.8773018562329	-73.8438580569089
2	4728	101	40.8773544744238	-73.8442050767912
2	4730	13	40.8785241485229	-73.8425027495745
2	4730	14	40.8784664558318	-73.8424631087184
2	4733	46	40.8740294479988	-73.8516254554006
2	4735	20	40.8746772518948	-73.8495484651238
2	4735	22	40.8745509066551	-73.8494800484381
2	4735	37	40.8735434078501	-73.849330462594
2	4736	54	40.8748385084789	-73.8490274048243
2	4737	39	40.8742433626425	-73.8472858884181
2	4737	60	40.875109074974	-73.8481444974194
2	4738	12	40.8759971271443	-73.8472131562981
2	4740	15	40.8730279388159	-73.8476466482479
2	4741	36	40.8726892699422	-73.8468374797237
2	4742	46	40.8736822127572	-73.8463578966543
2	4744	6	40.8762002557787	-73.8451696412302
2	4744	31	40.8751017395019	-73.8446948931709
2	4744	32	40.8750798695743	-73.8447600314229
2	4748	7	40.8747130137287	-73.84341937644
2	4748	15	40.8743037557637	-73.8431997695823
2	4748	42	40.8738865386238	-73.8431826740112
2	4748	64	40.8748891539981	-73.8437733241146
2	4749	44	40.8756240781788	-73.8432906715112
2	4752	197	40.8744732719724	-73.8427184523349
2	4755	16	40.8758035773147	-73.8400864782608
2	4756	60	40.8758412148739	-73.8395186764253
2	4758	28	40.8756125416359	-73.8369446482321
2	4758	65	40.8759633091057	-73.8365532597625
